Date = 2017-10-05 10:12:43.2844; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:12:48.3367; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:12:49.9020; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:12:50.9162; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:14:09.9893; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:14:12.3864; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:14:13.6636; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:14:15.0850; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:23:24.2509; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:23:26.8623; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:23:59.9611; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:23:59.9886; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:19.9198; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:23.7176; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:30.9977; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:37.4605; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:42.6756; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:30:49.4130; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:31:03.0541; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:31:09.0215; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:31:16.3204; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:31:16.3514; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:32:20.4136; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:32:23.1900; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:32:24.0980; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:32:48.8713; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:33:12.8903; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:33:59.8914; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:34:02.2211; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:34:31.8440; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:35:24.5958; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:35:27.5888; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:36:07.9629; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:36:10.6374; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:36:29.3155; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:45:11.0732; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:45:13.9552; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:45:15.5094; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:45:34.8434; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:47:53.8132; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:47:56.6372; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:47:58.3771; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:48:27.1049; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:56:24.1475; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:56:28.3163; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:56:30.8136; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 10:56:54.1446; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:00:49.0722; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:00:52.2201; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:01:07.8692; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:02:45.8252; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:02:48.6439; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:02:49.7516; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:03:05.3204; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:08:54.6434; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:08:57.5301; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 11:09:11.6394; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:09:11.7762; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:18.4374; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:24.2164; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:25.6600; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:26.6322; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:30.6052; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:31.4611; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:32.0193; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:32.4606; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:33.8051; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:36.5271; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:37.6006; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:43.8971; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:53.7287; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:55.0149; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:57.0104; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:57.5631; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:58.1254; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:58.6304; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:59.0132; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:10:59.3797; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:13:59.0169; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:06.3031; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:07.0479; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:07.6288; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:08.0297; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:08.4962; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:08.9658; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:09.4781; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:09.8518; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:10.3493; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:19.0551; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:29.5615; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:32.6085; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:33.3693; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:43.5395; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:47.7800; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:14:48.3179; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:38.8685; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:52.5391; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:55.2334; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:55.8527; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:56.3551; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:56.9090; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:57.4452; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:57.9306; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:15:58.9640; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:00.8032; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:01.5964; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:02.5580; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:03.1798; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:03.7831; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:04.2174; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:28.8493; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:34.0994; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:16:57.4214; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:08.3418; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:09.0046; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:11.5196; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:17:17.0496; IP = ; URL = ; Controller = ; Action = ;
